0:0:0:0:0:0:0:1 - - [20/may/2022:10:12:58 +0200] "GET /api/rules/search?activation=true&ps=1&qprofile=AYDdE9rbqYyc8vp6asIg&statuses=DEPRECATED HTTP/1.1" 200 35 "http://localhost:9000/dashboard?id=gpi3" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDdR4icgZUYGsijAACi"
0:0:0:0:0:0:0:1 - - [20/may/2022:10:12:58 +0200] "GET /api/rules/search?activation=true&ps=1&qprofile=AYDdE9vxqYyc8vp6asKW&statuses=DEPRECATED HTTP/1.1" 200 35 "http://localhost:9000/dashboard?id=gpi3" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDdR4icgZUYGsijAACj"
0:0:0:0:0:0:0:1 - - [20/may/2022:10:12:58 +0200] "GET /api/project_links/search?projectKey=gpi3 HTTP/1.1" 200 12 "http://localhost:9000/dashboard?id=gpi3" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDdR4icgZUYGsijAACk"
0:0:0:0:0:0:0:1 - - [20/may/2022:10:12:58 +0200] "GET /api/measures/search_history?component=gpi3&metrics=bugs%2Cvulnerabilities%2Csqale_index%2Cduplicated_lines_density%2Cncloc%2Ccoverage%2Ccode_smells&ps=1000 HTTP/1.1" 200 652 "http://localhost:9000/dashboard?id=gpi3" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDdR4icgZUYGsijAACl"
0:0:0:0:0:0:0:1 - - [20/may/2022:10:13:20 +0200] "GET /api/projects/search_my_projects?p=1&ps=100 HTTP/1.1" 200 465 "http://localhost:9000/account/projects/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDdR4icgZUYGsijAACm"
0:0:0:0:0:0:0:1 - - [20/may/2022:10:13:23 +0200] "GET /api/components/show?component=gpi3 HTTP/1.1" 200 240 "http://localhost:9000/dashboard?id=gpi3" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDdR4icgZUYGsijAACo"
0:0:0:0:0:0:0:1 - - [20/may/2022:10:13:23 +0200] "GET /api/navigation/component?component=gpi3 HTTP/1.1" 200 842 "http://localhost:9000/dashboard?id=gpi3" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDdR4icgZUYGsijAACn"
0:0:0:0:0:0:0:1 - - [20/may/2022:10:13:23 +0200] "GET /api/project_branches/list?project=gpi3 HTTP/1.1" 200 138 "http://localhost:9000/dashboard?id=gpi3" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDdR4icgZUYGsijAACp"
0:0:0:0:0:0:0:1 - - [20/may/2022:10:13:23 +0200] "GET /api/project_pull_requests/list?project=gpi3 HTTP/1.1" 200 19 "http://localhost:9000/dashboard?id=gpi3" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDdR4icgZUYGsijAACq"
0:0:0:0:0:0:0:1 - - [20/may/2022:10:13:23 +0200] "GET /api/ce/analysis_status?component=gpi3 HTTP/1.1" 200 246 "http://localhost:9000/dashboard?id=gpi3" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDdR4icgZUYGsijAACs"
